iter	Passed	Remaining
406	6370	9281
407	6385	9265
408	6400	9248
409	6415	9232
410	6430	9215
411	6446	9199
412	6461	9183
413	6476	9167
414	6491	9151
415	6507	9135
416	6523	9119
417	6537	9102
418	6552	9086
419	6568	9070
420	6583	9054
421	6598	9037
422	6613	9021
423	6628	9005
424	6643	8988
425	6660	8974
426	6676	8959
427	6691	8942
428	6707	8927
429	6722	8911
430	6737	8895
431	6752	8878
432	6768	8863
433	6784	8847
434	6799	8831
435	6814	8815
436	6829	8799
437	6846	8784
438	6861	8768
439	6876	8752
440	6891	8735
441	6907	8719
442	6921	8703
443	6937	8687
444	6951	8670
445	6967	8654
446	6981	8637
447	6996	8620
448	7011	8604
449	7027	8589
450	7042	8573
451	7057	8556
452	7072	8539
453	7087	8523
454	7102	8507
455	7117	8491
456	7133	8476
457	7149	8460
458	7164	8444
459	7179	8427
460	7194	8412
461	7210	8397
462	7226	8381
463	7242	8366
464	7258	8350
465	7273	8335
466	7288	8318
467	7304	8303
468	7319	8287
469	7335	8271
470	7351	8256
471	7367	8241
472	7382	8225
473	7398	8210
474	7413	8194
475	7429	8179
476	7445	8163
477	7460	8147
478	7475	8131
479	7490	8114
480	7506	8099
481	7522	8083
482	7536	8067
483	7552	8052
484	7568	8036
485	7583	8019
486	7598	8003
487	7613	7988
488	7629	7972
489	7645	7957
490	7661	7941
491	7677	7926
492	7692	7910
493	7708	7895
494	7723	7879
495	7739	7864
496	7754	7848
497	7770	7832
498	7787	7818
499	7802	7802
500	7817	7786
501	7833	7770
502	7849	7755
503	7865	7740
504	7880	7724
505	7896	7709
506	7912	7693
507	7928	7679
508	7945	7664
509	7962	7650
510	7979	7635
511	7996	7621
512	8011	7605
513	8027	7590
514	8044	7575
515	8059	7559
516	8074	7543
517	8090	7527
518	8104	7511
519	8119	7495
520	8134	7479
521	8150	7463
522	8165	7447
523	8180	7431
524	8196	7415
525	8211	7399
526	8224	7382
527	8239	7365
528	8255	7350
529	8270	7334
530	8285	7318
531	8300	7301
532	8315	7285
533	8330	7269
534	8344	7253
535	8359	7237
536	8374	7220
537	8388	7203
538	8402	7186
539	8418	7171
540	8432	7154
541	8447	7138
542	8462	7122
543	8477	7106
544	8493	7090
545	8508	7074
546	8522	7058
547	8539	7043
548	8554	7027
549	8569	7011
550	8583	6994
551	8598	6978
552	8613	6962
553	8628	6946
554	8644	6931
555	8658	6914
556	8674	6899
557	8689	6883
558	8705	6867
559	8721	6852
560	8736	6836
561	8751	6820
562	8765	6804
563	8780	6788
564	8797	6773
565	8812	6757
566	8827	6741
567	8842	6724
568	8857	6709
569	8873	6693
570	8887	6677
571	8903	6661
572	8918	6645
573	8933	6630
574	8948	6613
575	8961	6596
576	8976	6580
577	8991	6564
578	9006	6548
579	9022	6533
580	9037	6517
581	9052	6501
582	9067	6485
583	9082	6469
584	9097	6453
585	9112	6437
586	9127	6421
587	9141	6405
588	9156	6389
589	9171	6373
590	9187	6357
591	9201	6341
592	9217	6326
593	9233	6310
594	9248	6295
595	9263	6279
596	9277	6262
597	9292	6246
598	9307	6230
599	9322	6214
600	9336	6198
601	9351	6182
602	9366	6166
603	9382	6151
604	9397	6135
605	9412	6119
606	9426	6103
607	9441	6087
608	9457	6071
609	9471	6055
610	9486	6039
611	9500	6023
612	9516	6007
613	9530	5991
614	9544	5975
615	9559	5959
616	9575	5944
617	9590	5927
618	9605	5912
619	9619	5895
620	9633	5879
621	9648	5863
622	9663	5847
623	9678	5831
624	9693	5816
625	9708	5800
626	9724	5785
627	9739	5769
628	9754	5753
629	9768	5737
630	9784	5721
631	9798	5705
632	9812	5689
633	9826	5672
634	9839	5655
635	9854	5640
636	9869	5624
637	9884	5608
638	9899	5592
639	9914	5576
640	9929	5561
641	9945	5545
642	9959	5529
643	9974	5513
644	9988	5497
645	10002	5481
646	10017	5465
647	10031	5449
648	10046	5433
649	10063	5418
650	10088	5408
651	10103	5392
652	10119	5377
653	10134	5361
654	10150	5346
655	10166	5331
656	10182	5315
657	10196	5299
658	10211	5283
659	10225	5267
660	10240	5252
661	10255	5236
662	10270	5220
663	10284	5204
664	10299	5188
665	10314	5172
666	10330	5157
667	10345	5141
668	10360	5126
669	10375	5110
670	10390	5094
671	10404	5078
672	10419	5062
673	10433	5046
674	10449	5031
675	10463	5015
676	10478	4999
677	10493	4983
678	10508	4967
679	10524	4952
680	10538	4936
681	10554	4921
682	10568	4905
683	10583	4889
684	10597	4873
685	10612	4857
686	10627	4842
687	10642	4826
688	10655	4809
689	10670	4793
690	10684	4778
691	10700	4762
692	10715	4747
693	10731	4731
694	10745	4715
695	10761	4700
696	10774	4683
697	10788	4667
698	10803	4652
699	10818	4636
700	10833	4620
701	10849	4605
702	10864	4590
703	10879	4574
704	10894	4558
705	10908	4542
706	10922	4526
707	10937	4510
708	10952	4495
709	10966	4479
710	10981	4463
711	10996	4448
712	11011	4432
713	11026	4416
714	11041	4401
715	11057	4385
716	11071	4369
717	11086	4354
718	11098	4337
719	11113	4322
720	11126	4305
721	11141	4290
722	11158	4274
723	11177	4260
724	11195	4246
725	11216	4233
726	11231	4217
727	11247	4202
728	11261	4186
729	11276	4170
730	11292	4155
731	11306	4139
732	11321	4124
733	11337	4108
734	11359	4095
735	11375	4080
736	11389	4064
737	11404	4048
738	11419	4033
739	11433	4017
740	11448	4001
741	11463	3986
742	11478	3970
743	11492	3954
744	11507	3938
745	11522	3923
746	11538	3907
747	11553	3892
748	11569	3876
749	11584	3861
750	11599	3845
751	11614	3830
752	11629	3814
753	11645	3799
754	11659	3783
755	11674	3767
