iter	Logloss
0	0.5983459174
1	0.5184078101
2	0.4524194523
3	0.4027554648
4	0.3584365022
5	0.3244641647
6	0.2999939219
7	0.2761198997
8	0.2589420075
9	0.2418966903
10	0.2270757533
11	0.2159259443
12	0.2065775869
13	0.1985664618
14	0.1910471166
15	0.1860617476
16	0.1812015697
17	0.1761431448
18	0.1726049289
19	0.1699297229
20	0.1668891912
21	0.1630808406
22	0.1585707175
23	0.1559208553
24	0.1537774424
25	0.1521299228
26	0.1495250157
27	0.1477379038
28	0.146177427
29	0.1449149326
30	0.1433981502
31	0.1417993753
32	0.1405863263
33	0.1394794016
34	0.1385909914
35	0.1375594065
36	0.1341687232
37	0.1331146712
38	0.1320734742
39	0.1311782046
40	0.1301553402
41	0.1294376464
42	0.1287284197
43	0.1280569426
44	0.1270183937
45	0.1261769535
46	0.125405515
47	0.1248579062
48	0.1241439345
49	0.1224456694
50	0.1215493495
51	0.1208930469
52	0.1201069195
53	0.119397793
54	0.118679857
55	0.11816808
56	0.1174615252
57	0.1156518923
58	0.1152213903
59	0.1145532258
60	0.1140177178
61	0.1135407663
62	0.113052651
63	0.1123987938
64	0.1115286897
65	0.1110923293
66	0.1105433235
67	0.1098994902
68	0.1094144528
69	0.1090248264
70	0.1084527188
71	0.1080152319
72	0.1074681833
73	0.1071019875
74	0.1066872451
75	0.1060525351
76	0.1054430136
77	0.1051050726
78	0.1046993963
79	0.1043002557
80	0.1026794186
81	0.1019974944
82	0.1015387182
83	0.1010899763
84	0.1002842201
85	0.09979241216
86	0.09945456055
87	0.09913839903
88	0.09874403375
89	0.09841323607
90	0.09799027644
91	0.09745768425
92	0.09713369189
93	0.09653851363
94	0.09611786577
95	0.09588685425
96	0.09559200432
97	0.09530301102
98	0.0949160589
99	0.09447941938
100	0.09409392408
101	0.09388238586
102	0.093533003
103	0.09325868231
104	0.09274676042
105	0.09203646942
106	0.09162639982
107	0.09136842424
108	0.0910933096
109	0.09071970739
110	0.09045260595
111	0.09021060955
112	0.08973981643
113	0.08891019095
114	0.08868272725
115	0.08833996785
116	0.08801306959
117	0.08736386859
118	0.08713894118
119	0.08691267504
120	0.08658280316
121	0.08639332955
122	0.08606154848
123	0.08582394363
124	0.08546958553
125	0.08521237532
126	0.08494507194
127	0.08467186942
128	0.08411235639
129	0.08352605774
130	0.08322738244
131	0.08290785816
132	0.08268325028
133	0.08251141254
134	0.0823053371
135	0.08213160454
136	0.08196455539
137	0.08167806592
138	0.08139718358
139	0.0811164163
140	0.0809804895
141	0.0807693795
142	0.08059665001
143	0.08037113561
144	0.07992683237
145	0.07970806994
146	0.07930151202
147	0.07905289682
148	0.07885468654
149	0.07866562485
150	0.07831358934
151	0.07803357985
152	0.07788937633
153	0.07768523806
154	0.07742099208
155	0.07724588322
156	0.0771222377
157	0.07681523414
158	0.07668827542
159	0.07631928979
160	0.07599573586
161	0.07574607158
162	0.07538071263
163	0.07518770501
164	0.07436123802
165	0.07417080704
166	0.0739193201
167	0.0736763852
168	0.07338030487
169	0.07317761937
170	0.07279880755
171	0.07241500216
172	0.0721586203
173	0.0720130326
174	0.07182095503
175	0.0717282621
176	0.07153996798
177	0.0713903972
178	0.0712426282
179	0.07096725398
180	0.07073881514
181	0.07061322606
182	0.07052077116
183	0.0703050482
184	0.0695668349
185	0.0693381738
186	0.06914310347
187	0.06894373111
188	0.06878301185
189	0.06852652326
190	0.06840177493
191	0.0681832404
192	0.06802702792
193	0.06775595666
194	0.06753174292
195	0.06720309926
196	0.06709966426
197	0.06691301789
198	0.06670089059
199	0.06645453587
200	0.0662692543
201	0.06607134572
202	0.06555644236
203	0.06492501467
204	0.06474959034
205	0.06458461793
206	0.06445564843
207	0.06424734952
208	0.06404666062
209	0.06384538639
210	0.06370821177
211	0.06352733721
212	0.06335432614
213	0.063100788
214	0.06296668456
215	0.06276541199
216	0.06254678163
217	0.06235506722
218	0.06221464539
219	0.06202993465
220	0.06186890214
221	0.06166975645
222	0.06143204835
223	0.06134134286
224	0.06119065054
225	0.06103212485
226	0.06089747892
227	0.06078235971
228	0.06059128393
229	0.06044962018
230	0.06026490788
231	0.06010764321
232	0.05997938168
233	0.05983703328
234	0.05970305146
235	0.05955882507
236	0.05939035765
237	0.05926114684
238	0.05901010799
239	0.05891670303
240	0.05880139068
241	0.05854727786
242	0.0583935914
243	0.05826899201
244	0.05816239927
245	0.05801882211
246	0.05785533171
247	0.05775082481
248	0.05760333912
249	0.05748538141
250	0.05737124343
251	0.05723835451
252	0.05711085593
253	0.05699459375
254	0.05686968759
255	0.05674273835
256	0.05663163206
257	0.05649130276
258	0.0563392186
259	0.05619347147
260	0.05607936204
261	0.05599301389
262	0.05583533133
263	0.05553306981
264	0.05538362791
265	0.05523862256
266	0.05505867142
267	0.05496889668
268	0.05479703044
269	0.05469260019
270	0.05456062795
271	0.05449493114
272	0.05442457922
273	0.05433899265
274	0.05419474802
275	0.05411545577
276	0.05398988483
277	0.05385560319
278	0.05378319051
279	0.05366370207
280	0.0535821638
281	0.05346134645
282	0.05337062123
283	0.05329536425
284	0.05318334215
285	0.05305105984
286	0.0528590002
287	0.05273149771
288	0.05262504968
289	0.05255317924
290	0.05247170224
291	0.05239026366
292	0.05226741269
293	0.05213890374
294	0.05207489748
295	0.05201048126
296	0.05193544008
297	0.05181221231
298	0.05166514865
299	0.05155958055
300	0.05146365114
301	0.05129460642
302	0.05121455377
303	0.05115708173
304	0.05103974885
305	0.05092822986
